model_type,baseline_pr_auc,features_pr_auc,ganho_pr_auc_abs,ganho_pr_auc_percentual,baseline_recall_fraud,features_recall_fraud,fraudes_detectadas_a_mais,fraudes_perdidas_a_menos,resumo_relatorio
DecisionTreeClassifier,0.5345248542854314,0.996329060371757,0.461804,86.4,0.6956521739130435,0.9944852941176471,471,495,"No modelo DecisionTreeClassifier, o uso das features engenheiradas elevou o PR-AUC de 0.5345 para 0.9963, com ganho absoluto de 0.4618 e ganho percentual de 86.4%. O modelo detectou 471 fraudes a mais e reduziu em 495 as fraudes não detectadas em relação ao baseline."
GBTClassifier,0.7929991646207318,0.9946957791673456,0.201697,25.43,0.6914251207729468,0.9944852941176471,478,502,"No modelo GBTClassifier, o uso das features engenheiradas elevou o PR-AUC de 0.793 para 0.9947, com ganho absoluto de 0.2017 e ganho percentual de 25.43%. O modelo detectou 478 fraudes a mais e reduziu em 502 as fraudes não detectadas em relação ao baseline."
RandomForestClassifier,0.7900579342999496,0.9946826992677076,0.204625,25.9,0.6841787439613527,0.9944852941176471,490,514,"No modelo RandomForestClassifier, o uso das features engenheiradas elevou o PR-AUC de 0.7901 para 0.9947, com ganho absoluto de 0.2046 e ganho percentual de 25.9%. O modelo detectou 490 fraudes a mais e reduziu em 514 as fraudes não detectadas em relação ao baseline."
LogisticRegression,0.026495225596273538,0.1859022732483398,0.159407,601.64,0.0024154589371980675,0.025735294117647058,38,62,"No modelo LogisticRegression, o uso das features engenheiradas elevou o PR-AUC de 0.0265 para 0.1859, com ganho absoluto de 0.1594 e ganho percentual de 601.64%. O modelo detectou 38 fraudes a mais e reduziu em 62 as fraudes não detectadas em relação ao baseline."
