run_name,dataset_version,model_type,accuracy,weighted_precision,weighted_recall,f1_weighted,roc_auc,pr_auc,total_test,total_fraudes_teste,total_normais_teste,true_positives,false_positives,true_negatives,false_negatives,fraudes_detectadas,fraudes_nao_detectadas,normais_corretas,normais_marcadas_como_fraude,precision_fraud,recall_fraud,f1_fraud
baseline_LogisticRegression,baseline,LogisticRegression,0.9986857411169549,0.9976264074171712,0.9986857411169549,0.9980470374997543,0.881678042274264,0.026495225596273538,1271439,1656,1269783,4,19,1269764,1652,4,1652,1269764,19,0.17391304347826086,0.0024154589371980675,0.004764740917212626
baseline_DecisionTreeClassifier,baseline,DecisionTreeClassifier,0.9995257342271238,0.9995006526785071,0.9995257342271238,0.9994927349486724,0.588971542803953,0.5345248542854314,1271439,1656,1269783,1152,99,1269684,504,1152,504,1269684,99,0.920863309352518,0.6956521739130435,0.7925696594427245
baseline_RandomForestClassifier,baseline,RandomForestClassifier,0.99957843042411,0.9995740453414318,0.99957843042411,0.9995401072062117,0.9897235284384113,0.7900579342999496,1271439,1656,1269783,1133,13,1269770,523,1133,523,1269770,13,0.9886561954624782,0.6841787439613527,0.8087080656673804
baseline_GBTClassifier,baseline,GBTClassifier,0.9995273072479293,0.9995033101905316,0.9995273072479294,0.9994929286343522,0.9928865099248328,0.7929991646207318,1271439,1656,1269783,1145,90,1269693,511,1145,511,1269693,90,0.9271255060728745,0.6914251207729468,0.7921134555517121
engineered_features_LogisticRegression,engineered_features,LogisticRegression,0.998750455808573,0.9987520172207965,0.9987504558085729,0.9981574248810687,0.9534231459251524,0.1859022732483398,1272464,1632,1270832,42,0,1270832,1590,42,1590,1270832,0,1.0,0.025735294117647058,0.05017921146953405
engineered_features_DecisionTreeClassifier,engineered_features,DecisionTreeClassifier,0.9999929271083504,0.9999929271584401,0.9999929271083504,0.9999929173426817,0.9968623494081351,0.996329060371757,1272464,1632,1270832,1623,0,1270832,9,1623,9,1270832,0,1.0,0.9944852941176471,0.9972350230414746
engineered_features_RandomForestClassifier,engineered_features,RandomForestClassifier,0.9999929271083504,0.9999929271584401,0.9999929271083504,0.9999929173426817,0.9973730637819604,0.9946826992677076,1272464,1632,1270832,1623,0,1270832,9,1623,9,1270832,0,1.0,0.9944852941176471,0.9972350230414746
engineered_features_GBTClassifier,engineered_features,GBTClassifier,0.9999929271083504,0.9999929271584401,0.9999929271083504,0.9999929173426817,0.9985327383352163,0.9946957791673456,1272464,1632,1270832,1623,0,1270832,9,1623,9,1270832,0,1.0,0.9944852941176471,0.9972350230414746
