model_type,baseline_pr_auc,baseline_roc_auc,baseline_recall_fraud,baseline_precision_fraud,baseline_f1_fraud,baseline_fraudes_detectadas,baseline_fraudes_nao_detectadas,baseline_false_positives,features_pr_auc,features_roc_auc,features_recall_fraud,features_precision_fraud,features_f1_fraud,features_fraudes_detectadas,features_fraudes_nao_detectadas,features_false_positives,ganho_pr_auc_abs,ganho_pr_auc_percentual,ganho_recall_fraud_abs,fraudes_detectadas_a_mais,fraudes_perdidas_a_menos
DecisionTreeClassifier,0.5345248542854314,0.588971542803953,0.6956521739130435,0.920863309352518,0.7925696594427245,1152,504,99,0.996329060371757,0.9968623494081351,0.9944852941176471,1.0,0.9972350230414746,1623,9,0,0.461804,86.4,0.298833,471,495
GBTClassifier,0.7929991646207318,0.9928865099248328,0.6914251207729468,0.9271255060728745,0.7921134555517121,1145,511,90,0.9946957791673456,0.9985327383352163,0.9944852941176471,1.0,0.9972350230414746,1623,9,0,0.201697,25.43,0.30306,478,502
RandomForestClassifier,0.7900579342999496,0.9897235284384113,0.6841787439613527,0.9886561954624782,0.8087080656673804,1133,523,13,0.9946826992677076,0.9973730637819604,0.9944852941176471,1.0,0.9972350230414746,1623,9,0,0.204625,25.9,0.310307,490,514
LogisticRegression,0.026495225596273538,0.881678042274264,0.0024154589371980675,0.17391304347826086,0.004764740917212626,4,1652,19,0.1859022732483398,0.9534231459251524,0.025735294117647058,1.0,0.05017921146953405,42,1590,0,0.159407,601.64,0.02332,38,62
