model_type,baseline_valor_fraude_detectado,baseline_valor_fraude_nao_detectado,baseline_taxa_valor_detectado,features_valor_fraude_detectado,features_valor_fraude_nao_detectado,features_taxa_valor_detectado,valor_fraude_detectado_a_mais,valor_fraude_perdido_a_menos,ganho_taxa_valor_detectado
LogisticRegression,1.929004696E7,2.3256724143200016E9,0.008226164503064367,3.7680729145E8,1.9253238673899994E9,0.16367759499848214,3.5751724449E8,4.003485469300022E8,0.15545143049541776
DecisionTreeClassifier,2.2343033837600017E9,1.1065907752000001E8,0.952809872504485,2.3007039437700005E9,1427215.07,0.9993800461522273,6.64005600099988E7,1.0923186245000002E8,0.0465701736477423
RandomForestClassifier,2.2274890508800015E9,1.174734104E8,0.9499039271034313,2.3007039437700005E9,1427215.07,0.9993800461522273,7.321489288999891E7,1.1604619533000001E8,0.04947611904879601
GBTClassifier,2.234035830890002E9,1.1092663038999999E8,0.9526957756375126,2.3007039437700005E9,1427215.07,0.9993800461522273,6.6668112879998684E7,1.0949941532E8,0.04668427051471469
