type,total_transacoes,total_fraudes,valor_total,valor_medio,amount_log_medio,total_flagged_fraud,taxa_fraude_percentual,percentual_transacoes
TRANSFER,532909,4097,4.8529198726316846E11,910647.0096454901,12.969856553049675,16,0.7688,8.3756
CASH_OUT,2237500,4116,3.9441299522448755E11,176273.9643461397,11.679610316810548,0,0.184,35.1663
CASH_IN,1399284,0,2.363673919124595E11,168920.242004096,11.647845966263846,0,0.0,21.9923
DEBIT,41432,0,2.271992212799995E8,5483.665313767125,7.906254989710685,0,0.0,0.6512
PAYMENT,2151495,0,2.8093371138370228E10,13057.604660187557,8.97295298606565,0,0.0,33.8146
